¿ù,ÀÏ, 1h , 2h , 3h , 4h , 5h , 6h , 7h , 8h , 9h , 10h , 11h , 12h , 13h , 14h , 15h , 16h , 17h , 18h , 19h , 20h , 21h , 22h , 23h , 24h 
1,1,0,0,0,0,0,0,0,0,20.16,106.8,469.56,504.24,745.2,549.48,400.44,291,68.4,0.84,0,0,0,0,0,0
1,2,0,0,0,0,0,0,0,1.2,63.36,288.72,462.48,783.48,948.84,518.88,282.48,193.68,68.28,7.32,0,0,0,0,0,0
1,3,0,0,0,0,0,0,0,0.36,43.56,289.92,726.96,1149.84,1104.6,1088.52,511.92,231,85.44,9.24,0,0,0,0,0,0
1,4,0,0,0,0,0,0,0,0.72,45.96,332.16,859.56,1191.24,1357.08,1251.96,602.04,513.12,66.6,9.72,0,0,0,0,0,0
1,5,0,0,0,0,0,0,0,0.36,41.64,341.04,740.52,1158.6,721.44,889.44,657.72,333.84,97.44,9.12,0,0,0,0,0,0
1,6,0,0,0,0,0,0,0,0.72,76.2,267.84,426.84,866.88,956.88,1030.44,721.44,429.96,105.36,11.64,0,0,0,0,0,0
1,7,0,0,0,0,0,0,0,2.04,59.76,352.08,355.68,931.68,1279.8,1051.32,811.92,430.44,85.32,10.68,0,0,0,0,0,0
1,8,0,0,0,0,0,0,0,0.96,61.8,318.24,648.72,981.36,1082.88,1074.72,730.32,384.48,104.88,12.6,0,0,0,0,0,0
1,9,0,0,0,0,0,0,0,0,28.08,275.28,433.8,657.36,1175.4,903.24,572.76,243.6,94.32,8.76,0,0,0,0,0,0
1,10,0,0,0,0,0,0,0,1.08,63.36,406.2,794.04,1221,1325.28,1311.36,1017.36,591.36,113.16,8.88,0,0,0,0,0,0
1,11,0,0,0,0,0,0,0,0.36,38.64,395.52,812.16,1197.48,1258.68,1206.72,891.72,315.96,116.76,12.96,0,0,0,0,0,0
1,12,0,0,0,0,0,0,0,0.24,64.92,305.76,519.24,838.08,692.04,608.88,499.92,330.12,113.4,11.64,0,0,0,0,0,0
1,13,0,0,0,0,0,0,0,0,25.32,73.68,133.8,207.96,155.28,109.08,88.8,119.16,27.84,0.6,0,0,0,0,0,0
1,14,0,0,0,0,0,0,0,0.6,66.72,347.64,685.92,932.16,1015.8,966.96,613.32,258.84,62.88,1.8,0,0,0,0,0,0
1,15,0,0,0,0,0,0,0,2.28,90.96,323.16,572.76,1040.16,1120.2,1018.2,706.68,346.8,169.92,21.6,0,0,0,0,0,0
1,16,0,0,0,0,0,0,0,0,7.44,104.64,151.8,191.04,201.12,107.04,218.16,57.84,69.24,3,0,0,0,0,0,0
