년월일,호기,구분,총량,평균,최대,최소,최대(시간별),최소(시간별),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2018.01.01,1,발전량,7.646,0.319,1.295,0,1.295,0.004,0,0,0,0,0,0,0,0,0.18,0.667,1.022,1.22,1.295,1.244,1.057,0.699,0.258,0.004,0,0,0,0,0,0
2018.01.02,1,발전량,4.62,0.192,0.892,0,0.892,0.003,0,0,0,0,0,0,0,0,0.126,0.521,0.892,0.799,0.591,0.612,0.556,0.39,0.129,0.003,0,0,0,0,0,0
2018.01.03,1,발전량,7.761,0.323,1.276,0,1.276,0.005,0,0,0,0,0,0,0,0,0.192,0.674,1.001,1.196,1.276,1.243,1.09,0.778,0.305,0.005,0,0,0,0,0,0
2018.01.04,1,발전량,6.202,0.258,1.194,0,1.194,0.001,0,0,0,0,0,0,0,0,0.167,0.562,0.754,1.061,1.194,1.136,0.795,0.421,0.113,0.001,0,0,0,0,0,0
2018.01.05,1,발전량,6.948,0.289,1.242,0,1.242,0.005,0,0,0,0,0,0,0,0,0.067,0.422,0.835,1.152,1.242,1.198,1.033,0.715,0.278,0.005,0,0,0,0,0,0
2018.01.06,1,발전량,7.791,0.325,1.285,0,1.285,0.011,0,0,0,0,0,0,0,0,0.19,0.677,1.009,1.202,1.285,1.24,1.078,0.773,0.326,0.011,0,0,0,0,0,0
2018.01.07,1,발전량,3.082,0.128,0.666,0,0.666,0.002,0,0,0,0,0,0,0,0,0.147,0.598,0.666,0.465,0.366,0.263,0.306,0.203,0.065,0.002,0,0,0,0,0,0
2018.01.08,1,발전량,1.048,0.044,0.439,0,0.439,0,0,0,0,0,0,0,0,0,0,0,0.01,0.035,0.163,0.259,0.439,0.118,0.024,0,0,0,0,0,0,0
2018.01.09,1,발전량,5.124,0.214,1.058,0,1.058,0.001,0,0,0,0,0,0,0,0,0.045,0.386,0.699,0.9,1.058,0.951,0.669,0.32,0.094,0.001,0,0,0,0,0,0
2018.01.10,1,발전량,3.138,0.131,0.635,0,0.635,0.004,0,0,0,0,0,0,0,0,0,0.153,0.341,0.513,0.635,0.565,0.515,0.265,0.147,0.004,0,0,0,0,0,0
2018.01.11,1,발전량,5.615,0.234,0.96,0,0.96,0.013,0,0,0,0,0,0,0,0,0.125,0.42,0.656,0.828,0.949,0.96,0.839,0.588,0.238,0.013,0,0,0,0,0,0
2018.01.12,1,발전량,6.501,0.271,1.074,0,1.074,0.02,0,0,0,0,0,0,0,0,0.153,0.499,0.769,0.946,1.045,1.074,0.954,0.708,0.332,0.02,0,0,0,0,0,0
2018.01.13,1,발전량,1.985,0.083,0.474,0,0.474,0.01,0,0,0,0,0,0,0,0,0.07,0.282,0.463,0.474,0.317,0.195,0.13,0.044,0.01,0,0,0,0,0,0,0
2018.01.14,1,발전량,6.45,0.269,1.204,0,1.204,0.021,0,0,0,0,0,0,0,0,0.031,0.164,0.645,1.026,1.157,1.204,1.067,0.782,0.354,0.021,0,0,0,0,0,0
2018.01.15,1,발전량,6.371,0.265,1.267,0,1.267,0.032,0,0,0,0,0,0,0,0,0.087,0.385,0.674,0.9,1.267,1.157,0.853,0.652,0.364,0.032,0,0,0,0,0,0
2018.01.16,1,발전량,2.312,0.096,0.586,0,0.586,0.021,0,0,0,0,0,0,0,0,0.084,0.268,0.273,0.586,0.465,0.313,0.21,0.092,0.021,0,0,0,0,0,0,0
2018.01.17,1,발전량,1.403,0.058,0.494,0,0.494,0.001,0,0,0,0,0,0,0,0,0.001,0.032,0.14,0.494,0.416,0.155,0.1,0.036,0.02,0.01,0,0,0,0,0,0
2018.01.18,1,발전량,3.785,0.158,0.783,0,0.783,0.007,0,0,0,0,0,0,0,0,0.048,0.231,0.378,0.474,0.674,0.783,0.512,0.539,0.139,0.007,0,0,0,0,0,0
2018.01.19,1,발전량,6.727,0.28,1.098,0,1.098,0.032,0,0,0,0,0,0,0,0,0.186,0.577,0.759,0.973,1.048,1.098,0.996,0.723,0.337,0.032,0,0,0,0,0,0
2018.01.20,1,발전량,4.954,0.206,0.82,0,0.82,0.031,0,0,0,0,0,0,0,0,0.097,0.208,0.602,0.756,0.694,0.701,0.82,0.739,0.305,0.031,0,0,0,0,0,0
2018.01.21,1,발전량,6.561,0.273,1.147,0,1.147,0.015,0,0,0,0,0,0,0,0,0.156,0.572,0.9,1.085,1.147,1.079,0.875,0.56,0.172,0.015,0,0,0,0,0,0
2018.01.22,1,발전량,2.877,0.12,0.532,0,0.532,0.007,0,0,0,0,0,0,0,0,0.074,0.3,0.42,0.475,0.397,0.532,0.257,0.27,0.145,0.007,0,0,0,0,0,0
2018.01.23,1,발전량,4.195,0.175,0.752,0,0.752,0.036,0,0,0,0,0,0,0,0,0.065,0.172,0.403,0.539,0.682,0.752,0.699,0.548,0.299,0.036,0,0,0,0,0,0
2018.01.24,1,발전량,4.675,0.195,1.273,0,1.273,0.055,0,0,0,0,0,0,0,0,0.204,0.611,0.937,1.156,1.273,0,0,0,0.439,0.055,0,0,0,0,0,0
2018.01.25,1,발전량,8.278,0.345,1.367,0,1.367,0,0,0,0,0,0,0,0,0,0.181,0.522,0.991,1.225,1.367,1.358,1.229,0.938,0.435,0.032,0,0,0,0,0,0
2018.01.26,1,발전량,9.278,0.387,1.466,0,1.466,0.073,0,0,0,0,0,0,0,0,0.264,0.767,1.148,1.376,1.466,1.423,1.266,0.969,0.527,0.073,0,0,0,0,0,0
2018.01.27,1,발전량,3.093,0.129,1.083,0,1.083,0,0,0,0,0,0,0,0,0,0.252,0.735,1.083,1.023,0,0,0,0,0,0,0,0,0,0,0,0
2018.01.28,1,발전량,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018.01.29,1,발전량,1.471,0.061,0.892,0,0.892,0.073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.892,0.506,0.073,0,0,0,0,0,0
2018.01.30,1,발전량,8.671,0.361,1.395,0,1.395,0.001,0,0,0,0,0,0,0,0.001,0.268,0.753,1.105,1.298,1.395,1.369,1.189,0.794,0.464,0.035,0,0,0,0,0,0
2018.01.31,1,발전량,5.092,0.212,1.006,0,1.006,0.02,0,0,0,0,0,0,0,0,0.115,0.503,1.006,0.802,0.709,0.856,0.647,0.267,0.166,0.02,0,0,0,0,0,0
2018.02.01,1,발전량,9.028,0.376,1.389,0,1.389,0.001,0,0,0,0,0,0,0,0.001,0.276,0.764,1.114,1.3,1.389,1.362,1.215,0.954,0.552,0.099,0,0,0,0,0,0
2018.02.02,1,발전량,8.429,0.351,1.321,0,1.321,0.002,0,0,0,0,0,0,0,0.002,0.242,0.74,1.058,1.249,1.262,1.321,1.169,0.881,0.416,0.088,0,0,0,0,0,0
2018.02.03,1,발전량,8.588,0.358,1.475,0,1.475,0.044,0,0,0,0,0,0,0,0,0.044,0.347,0.89,1.381,1.475,1.437,1.29,1.021,0.594,0.109,0,0,0,0,0,0
2018.02.04,1,발전량,9.503,0.396,1.478,0,1.478,0.003,0,0,0,0,0,0,0,0.003,0.292,0.782,1.155,1.39,1.478,1.438,1.286,1.004,0.564,0.111,0,0,0,0,0,0
2018.02.05,1,발전량,9.702,0.404,1.491,0,1.491,0.004,0,0,0,0,0,0,0,0.004,0.306,0.796,1.173,1.41,1.491,1.471,1.323,1.045,0.585,0.097,0,0,0,0,0,0
2018.02.06,1,발전량,9.704,0.404,1.492,0,1.492,0.005,0,0,0,0,0,0,0,0.005,0.31,0.802,1.17,1.407,1.492,1.455,1.317,1.025,0.596,0.124,0,0,0,0,0,0
2018.02.07,1,발전량,9.471,0.395,1.425,0,1.425,0.006,0,0,0,0,0,0,0,0.006,0.324,0.796,1.137,1.34,1.42,1.425,1.291,1.014,0.593,0.124,0,0,0,0,0,0
2018.02.08,1,발전량,8.418,0.351,1.333,0,1.333,0.002,0,0,0,0,0,0,0,0.002,0.205,0.644,1.001,1.229,1.333,1.318,1.169,0.9,0.51,0.108,0,0,0,0,0,0
2018.02.09,1,발전량,7.031,0.293,1.287,0,1.287,0.032,0,0,0,0,0,0,0,0,0.032,0.35,0.685,1.029,1.155,1.287,1.156,0.86,0.418,0.059,0,0,0,0,0,0
